Year,Drought Region,Month,x,Precipitation,Annual Precipitation
2017,Cape Cod and Islands,JAN,-0.35,6.065,55.95501
2017,Cape Cod and Islands,FEB,-0.06,2.96667,55.95501
2017,Cape Cod and Islands,MAR,0.03,4.1975,55.95501
2017,Cape Cod and Islands,APR,0.04,5.84333,55.95501
2017,Cape Cod and Islands,MAY,1.07,6.58167,55.95501
2017,Cape Cod and Islands,JUN,1.44,3.585,55.95501
2017,Cape Cod and Islands,JUL,0.91,3.32,55.95501
2017,Cape Cod and Islands,AUG,0.6,5.30167,55.95501
2017,Cape Cod and Islands,SEP,1.18,5.86667,55.95501
2017,Cape Cod and Islands,OCT,1.71,6.11667,55.95501
2017,Cape Cod and Islands,NOV,1.07,2.98833,55.95501
2017,Cape Cod and Islands,DEC,0.13,3.1225,55.95501
2018,Cape Cod and Islands,JAN,-0.69,6.178,61.33466
2018,Cape Cod and Islands,FEB,1.32,7.68833,61.33466
2018,Cape Cod and Islands,MAR,2.57,7.578,61.33466
2018,Cape Cod and Islands,APR,2.17,5.932,61.33466
2018,Cape Cod and Islands,MAY,1.01,2.26833,61.33466
2018,Cape Cod and Islands,JUN,-0.21,3.52,61.33466
2018,Cape Cod and Islands,JUL,-0.91,1.35167,61.33466
2018,Cape Cod and Islands,AUG,-0.74,3.06667,61.33466
2018,Cape Cod and Islands,SEP,-0.97,4.08,61.33466
2018,Cape Cod and Islands,OCT,0.36,6.615,61.33466
2018,Cape Cod and Islands,NOV,1.76,9.01833,61.33466
2018,Cape Cod and Islands,DEC,1.95,4.03833,61.33466
2019,Cape Cod and Islands,JAN,1.98,6.42,50.18169
2019,Cape Cod and Islands,FEB,0.77,3.76167,50.18169
2019,Cape Cod and Islands,MAR,0.68,4.17667,50.18169
2019,Cape Cod and Islands,APR,0.29,5.36667,50.18169
2019,Cape Cod and Islands,MAY,0.54,3.39667,50.18169
2019,Cape Cod and Islands,JUN,1.51,5.54833,50.18169
2019,Cape Cod and Islands,JUL,1,4.55833,50.18169
2019,Cape Cod and Islands,AUG,0.64,2.585,50.18169
2019,Cape Cod and Islands,SEP,-0.74,3.54,50.18169
2019,Cape Cod and Islands,OCT,0.8,3.4425,50.18169
2019,Cape Cod and Islands,NOV,0.91,3.81938,50.18169
2019,Cape Cod and Islands,DEC,2.99,3.56647,50.18169
2017,Central,JAN,-0.56,3.18,49.68467
2017,Central,FEB,-0.43,3.0025,49.68467
2017,Central,MAR,-0.6,4.2825,49.68467
2017,Central,APR,-0.08,3.858,49.68467
2017,Central,MAY,1.06,6.942,49.68467
2017,Central,JUN,1.41,4.96667,49.68467
2017,Central,JUL,1,3.11167,49.68467
2017,Central,AUG,-0.29,2.912,49.68467
2017,Central,SEP,-0.6,3.50833,49.68467
2017,Central,OCT,0.81,9.322,49.68467
2017,Central,NOV,0.61,1.535,49.68467
2017,Central,DEC,0.58,3.064,49.68467
2018,Central,JAN,-1.19,4.306,66.438
2018,Central,FEB,-0.01,4.512,66.438
2018,Central,MAR,0.36,3.85,66.438
2018,Central,APR,0.78,4.942,66.438
2018,Central,MAY,-0.08,1.884,66.438
2018,Central,JUN,0.03,5.214,66.438
2018,Central,JUL,0.23,5.784,66.438
2018,Central,AUG,1.83,9.78,66.438
2018,Central,SEP,2.44,7.862,66.438
2018,Central,OCT,1.96,4.648,66.438
2018,Central,NOV,2.26,8.942,66.438
2018,Central,DEC,1.6,4.714,66.438
2019,Central,JAN,1.99,4.234,45.56835
2019,Central,FEB,0.51,3,45.56835
2019,Central,MAR,-0.22,2.125,45.56835
2019,Central,APR,0.64,7.652,45.56835
2019,Central,MAY,0.7,3.162,45.56835
2019,Central,JUN,1.27,4.638,45.56835
2019,Central,JUL,0.52,5.134,45.56835
2019,Central,AUG,0.58,3.35,45.56835
2019,Central,SEP,-0.1,1.445,45.56835
2019,Central,OCT,0.41,3.4425,45.56835
2019,Central,NOV,0.02,3.81938,45.56835
2019,Central,DEC,1.11,3.56647,45.56835
2017,Connecticut River,JAN,-0.32,3.3125,45.78487
2017,Connecticut River,FEB,0.19,3.04333,45.78487
2017,Connecticut River,MAR,-0.35,3.22333,45.78487
2017,Connecticut River,APR,0.15,3.97143,45.78487
2017,Connecticut River,MAY,0.89,6.24,45.78487
2017,Connecticut River,JUN,1.12,4.48714,45.78487
2017,Connecticut River,JUL,0.71,3.88857,45.78487
2017,Connecticut River,AUG,-0.25,2.57857,45.78487
2017,Connecticut River,SEP,-0.82,3,45.78487
2017,Connecticut River,OCT,0.76,8.40167,45.78487
2017,Connecticut River,NOV,0.44,1.055,45.78487
2017,Connecticut River,DEC,0.53,2.58333,45.78487
2018,Connecticut River,JAN,-1.1,3.93833,65.41047
2018,Connecticut River,FEB,0.6,4.82667,65.41047
2018,Connecticut River,MAR,0.51,2.75,65.41047
2018,Connecticut River,APR,0.49,5.00143,65.41047
2018,Connecticut River,MAY,-0.65,2.34143,65.41047
2018,Connecticut River,JUN,0.29,5.26,65.41047
2018,Connecticut River,JUL,0.8,6.62,65.41047
2018,Connecticut River,AUG,2.09,7.53714,65.41047
2018,Connecticut River,SEP,2.52,8.56714,65.41047
2018,Connecticut River,OCT,2.02,5.05833,65.41047
2018,Connecticut River,NOV,2.31,8.76167,65.41047
2018,Connecticut River,DEC,1.77,4.74833,65.41047
2019,Connecticut River,JAN,2.6,4.855,45.81146
2019,Connecticut River,FEB,1.22,3.43167,45.81146
2019,Connecticut River,MAR,0.13,2.25667,45.81146
2019,Connecticut River,APR,0.69,7.45286,45.81146
2019,Connecticut River,MAY,0.24,3.80833,45.81146
2019,Connecticut River,JUN,0.7,3.13429,45.81146
2019,Connecticut River,JUL,-0.43,3.84429,45.81146
2019,Connecticut River,AUG,-0.35,4.15,45.81146
2019,Connecticut River,SEP,-0.54,2.05,45.81146
2019,Connecticut River,OCT,-0.19,3.4425,45.81146
2019,Connecticut River,NOV,-0.31,3.81938,45.81146
2019,Connecticut River,DEC,0.86,3.56647,45.81146
2017,Northeast,JAN,-0.1,4.27176,47.00787
2017,Northeast,FEB,0.16,3.13533,47.00787
2017,Northeast,MAR,0.35,3.98889,47.00787
2017,Northeast,APR,1.01,6.29737,47.00787
2017,Northeast,MAY,1.28,4.74684,47.00787
2017,Northeast,JUN,1.66,5.05579,47.00787
2017,Northeast,JUL,0.95,3.78556,47.00787
2017,Northeast,AUG,-0.11,1.49167,47.00787
2017,Northeast,SEP,-0.64,3.23059,47.00787
2017,Northeast,OCT,-0.23,6.01313,47.00787
2017,Northeast,NOV,-0.06,2.20294,47.00787
2017,Northeast,DEC,-0.63,2.788,47.00787
2018,Northeast,JAN,-0.99,3.86824,59.19584
2018,Northeast,FEB,-0.13,4.05529,59.19584
2018,Northeast,MAR,0.83,5.28875,59.19584
2018,Northeast,APR,1.12,5.39706,59.19584
2018,Northeast,MAY,0.62,2.08278,59.19584
2018,Northeast,JUN,0.25,3.71824,59.19584
2018,Northeast,JUL,-0.06,4.04471,59.19584
2018,Northeast,AUG,0.69,4.90118,59.19584
2018,Northeast,SEP,1.53,7.16118,59.19584
2018,Northeast,OCT,1.46,4.95176,59.19584
2018,Northeast,NOV,2.36,10.3529,59.19584
2018,Northeast,DEC,1.71,3.37375,59.19584
2019,Northeast,JAN,1.88,4.03529,47.51166
2019,Northeast,FEB,0.18,3.51588,47.51166
2019,Northeast,MAR,-0.05,3.154,47.51166
2019,Northeast,APR,0.66,6.905,47.51166
2019,Northeast,MAY,0.51,3.52563,47.51166
2019,Northeast,JUN,1.05,4.48938,47.51166
2019,Northeast,JUL,0.94,5.68286,47.51166
2019,Northeast,AUG,0.98,3.658,47.51166
2019,Northeast,SEP,-0.1,1.71727,47.51166
2019,Northeast,OCT,0.18,3.4425,47.51166
2019,Northeast,NOV,-0.18,3.81938,47.51166
2019,Northeast,DEC,0.98,3.56647,47.51166
2017,Southeast,JAN,-0.32,5.57364,47.86024
2017,Southeast,FEB,-0.01,2.98182,47.86024
2017,Southeast,MAR,0.13,3.795,47.86024
2017,Southeast,APR,0.67,6.06727,47.86024
2017,Southeast,MAY,1.23,5.19083,47.86024
2017,Southeast,JUN,1.67,4.93583,47.86024
2017,Southeast,JUL,0.76,3.3775,47.86024
2017,Southeast,AUG,-0.29,1.43167,47.86024
2017,Southeast,SEP,-0.87,3.28667,47.86024
2017,Southeast,OCT,-0.2,5.58455,47.86024
2017,Southeast,NOV,-0.02,2.70364,47.86024
2017,Southeast,DEC,-0.21,2.93182,47.86024
2018,Southeast,JAN,-0.29,5.5925,65.76987
2018,Southeast,FEB,0.58,4.71583,65.76987
2018,Southeast,MAR,1.67,6.95417,65.76987
2018,Southeast,APR,1.6,5.95818,65.76987
2018,Southeast,MAY,0.86,2.15083,65.76987
2018,Southeast,JUN,0.09,2.91917,65.76987
2018,Southeast,JUL,-0.71,2.91583,65.76987
2018,Southeast,AUG,-0.09,4.50083,65.76987
2018,Southeast,SEP,1.44,9.13583,65.76987
2018,Southeast,OCT,2.04,7.09917,65.76987
2018,Southeast,NOV,2.97,10.0517,65.76987
2018,Southeast,DEC,2.09,3.77583,65.76987
2019,Southeast,JAN,2.07,5.50417,49.52269
2019,Southeast,FEB,0.71,3.53333,49.52269
2019,Southeast,MAR,0.4,2.88917,49.52269
2019,Southeast,APR,0.61,7.47667,49.52269
2019,Southeast,MAY,0.78,4.25,49.52269
2019,Southeast,JUN,1.3,4.36917,49.52269
2019,Southeast,JUL,1.13,5.13583,49.52269
2019,Southeast,AUG,0.61,3.24,49.52269
2019,Southeast,SEP,-0.05,2.296,49.52269
2019,Southeast,OCT,-0.26,3.4425,49.52269
2019,Southeast,NOV,-0.05,3.81938,49.52269
2019,Southeast,DEC,1.06,3.56647,49.52269
2017,Western,JAN,0.11,3.865,47.9
2017,Western,FEB,0.08,3.125,47.9
2017,Western,MAR,-0.27,3.48,47.9
2017,Western,APR,-0.55,4.35,47.9
2017,Western,MAY,0.62,7.2475,47.9
2017,Western,JUN,1.03,4.2075,47.9
2017,Western,JUL,0.9,3.9625,47.9
2017,Western,AUG,0.06,3.605,47.9
2017,Western,SEP,-0.56,3.2475,47.9
2017,Western,OCT,0.11,6.3575,47.9
2017,Western,NOV,-0.44,1.5875,47.9
2017,Western,DEC,-0.42,2.865,47.9
2018,Western,JAN,-0.75,5.215,65.315
2018,Western,FEB,0.84,5.235,65.315
2018,Western,MAR,1.31,3.6275,65.315
2018,Western,APR,0.79,4.085,65.315
2018,Western,MAY,-0.07,2.7525,65.315
2018,Western,JUN,-0.29,5.1575,65.315
2018,Western,JUL,0.49,6.06,65.315
2018,Western,AUG,1.79,8.25,65.315
2018,Western,SEP,2.14,8.7525,65.315
2018,Western,OCT,1.87,4.975,65.315
2018,Western,NOV,2.3,7.7225,65.315
2018,Western,DEC,1.59,3.4825,65.315
2019,Western,JAN,2.05,5.1525,46.63835
2019,Western,FEB,0.99,3.1275,46.63835
2019,Western,MAR,0.32,1.5725,46.63835
2019,Western,APR,0.37,5.8675,46.63835
2019,Western,MAY,0.55,4.8575,46.63835
2019,Western,JUN,1.23,4.315,46.63835
2019,Western,JUL,0.3,3.3175,46.63835
2019,Western,AUG,-0.23,4.57,46.63835
2019,Western,SEP,-1.17,3.03,46.63835
2019,Western,OCT,-0.14,3.4425,46.63835
2019,Western,NOV,0.28,3.81938,46.63835
2019,Western,DEC,1.11,3.56647,46.63835